:ID,:LABEL,agent_code,agent_name,agency_name,agent_type,license_number,license_state,license_lines,designation,years_experience,hire_date,active_policies_count,ytd_premium_written,commission_rate_pct,ytd_commission_earned,retention_rate_pct,claims_ratio_pct,new_business_count_ytd,e_and_o_insurance,phone,email,office_address,certifications,performance_tier,fraud_referral_count_ytd,last_training_date,supervisor_name
AGT-1250,Agent,AGT-1250,Angela Callahan,Central Midwest Agency,Captive,LIC-OH-917318,OH,Commercial,LUTCF,1,9/01/2014,185,110545.15,12.0,38987.72,80.1,51.0,72,Yes,(208) 439-2844,angela.callahan@centralmidwesta.com,"4413 Business Park Dr, OH",,Platinum,1,1/01/2014,District Manager A
AGT-2210,Agent,AGT-2210,Robert Callahan,Tri-State Coverage Associates,Broker,LIC-IN-893469,IN,Home,LUTCF,15,5/01/2000,126,227533.96,14.7,7017.31,86.4,57.2,29,Yes,(338) 866-1905,robert.callahan@tri-statecovera.com,"4540 Business Park Dr, IN",Commercial Lines Cert|Anti-Fraud Certified,Platinum,8,1/01/2014,Branch Director C
AGT-1461,Agent,AGT-1461,David Patel,Heartland Insurance Services,Broker,LIC-OH-267210,OH,All Lines,CLU,26,2/01/1989,190,355749.22,11.6,67699.19,79.6,68.5,27,Yes,(736) 461-4844,david.patel@heartlandinsura.com,"4853 Business Park Dr, OH",,Silver,0,9/01/2014,Regional VP B
AGT-5025,Agent,AGT-5025,David Morrison,Central Midwest Agency,Broker,LIC-IL-562884,IL,All Lines,ChFC,12,8/01/2003,161,385531.1,10.0,6034.47,87.9,71.9,60,Yes,(748) 201-9556,david.morrison@centralmidwesta.com,"9651 Business Park Dr, IL",Anti-Fraud Certified|Cyber Liability Cert,Silver,5,8/01/2014,Branch Director C
AGT-9493,Agent,AGT-9493,Patricia Callahan,Midwest Auto Insurance Agency,Captive,LIC-IL-314564,IL,Auto,None,17,1/01/1998,139,539977.6,17.4,6680.25,80.6,54.2,5,No,(974) 780-5433,patricia.callahan@midwestautoinsu.com,"8790 Business Park Dr, IL",,Silver,5,7/01/2014,Regional VP B
AGT-1338,Agent,AGT-1338,Brian Ashworth,Tri-State Coverage Associates,Captive,LIC-OH-934713,OH,Auto,None,19,7/01/1996,149,172602.23,13.9,67803.97,81.2,50.1,69,Yes,(406) 513-7602,brian.ashworth@tri-statecovera.com,"2595 Business Park Dr, OH",Anti-Fraud Certified,Gold,8,3/01/2014,Branch Director C
AGT-2269,Agent,AGT-2269,Nancy Ashworth,Midwest Auto Insurance Agency,Captive,LIC-IN-674133,IN,Life,None,1,8/01/2014,62,238352.05,8.0,53478.92,76.7,77.4,10,Yes,(372) 966-6840,nancy.ashworth@midwestautoinsu.com,"2930 Business Park Dr, IN",Life & Health Licensed,Silver,2,8/01/2014,District Manager A
AGT-9175,Agent,AGT-9175,Thomas Morrison,Heartland Insurance Services,Captive,LIC-IL-817751,IL,Life,CPCU,7,4/01/2008,148,328846.18,12.1,79793.59,83.6,49.9,12,Yes,(976) 454-6576,thomas.morrison@heartlandinsura.com,"5069 Business Park Dr, IL",Cyber Liability Cert,Platinum,0,3/01/2014,Branch Director C
AGT-9881,Agent,AGT-9881,Maria Okafor,Central Midwest Agency,Independent,LIC-IL-117104,IL,Home,CLU,30,7/01/1985,117,666725.62,12.5,76933.27,97.6,73.4,5,Yes,(669) 311-3135,maria.okafor@centralmidwesta.com,"1016 Business Park Dr, IL",Commercial Lines Cert,Platinum,0,12/01/2014,Branch Director C
AGT-8796,Agent,AGT-8796,Thomas Sullivan,Prairie State Insurance Partners,Broker,LIC-IL-321399,IL,Commercial,CPCU,30,6/01/1985,209,435367.68,12.4,33221.2,82.3,77.1,36,Yes,(223) 797-6926,thomas.sullivan@prairiestateins.com,"6534 Business Park Dr, IL",Life & Health Licensed|Commercial Lines Cert,Platinum,6,4/01/2014,Regional VP B
AGT-8692,Agent,AGT-8692,Patricia Kowalski,Central Midwest Agency,Independent,LIC-OH-430131,OH,Auto,None,23,12/01/1992,224,211793.36,9.9,13943.39,95.9,85.2,6,Yes,(674) 885-9688,patricia.kowalski@centralmidwesta.com,"8533 Business Park Dr, OH",Life & Health Licensed|Cyber Liability Cert,Gold,4,4/01/2014,District Manager A
AGT-6322,Agent,AGT-6322,David Fitzgerald,Tri-State Coverage Associates,Independent,LIC-OH-633687,OH,All Lines,CLU,30,4/01/1985,239,623993.03,12.4,32451.2,78.9,47.9,75,Yes,(772) 999-7076,david.fitzgerald@tri-statecovera.com,"5361 Business Park Dr, OH",Commercial Lines Cert,Gold,9,1/01/2014,Branch Director C
AGT-9765,Agent,AGT-9765,Maria Patel,Prairie State Insurance Partners,Captive,LIC-OH-297839,OH,Life,CPCU,27,1/01/1988,237,200970.83,8.3,55466.48,85.1,56.4,21,Yes,(293) 624-6698,maria.patel@prairiestateins.com,"8873 Business Park Dr, OH",Anti-Fraud Certified|Commercial Lines Cert,Bronze,9,4/01/2014,Regional VP B
AGT-4662,Agent,AGT-4662,David Bergman,Prairie State Insurance Partners,Captive,LIC-OH-103522,OH,Home,LUTCF,26,11/01/1989,99,280178.72,14.3,57645.15,72.9,59.6,25,Yes,(352) 493-7198,david.bergman@prairiestateins.com,"9883 Business Park Dr, OH",,Platinum,2,11/01/2014,Branch Director C
AGT-5078,Agent,AGT-5078,Patricia Ashworth,Lakefront Coverage Group,Broker,LIC-OH-941087,OH,Commercial,CPCU,23,2/01/1992,158,445173.74,16.7,16702.95,77.6,72.0,33,Yes,(393) 576-4930,patricia.ashworth@lakefrontcovera.com,"546 Business Park Dr, OH",Anti-Fraud Certified|Cyber Liability Cert,Gold,5,4/01/2014,Branch Director C
AGT-2571,Agent,AGT-2571,Lisa Delgado,Prairie State Insurance Partners,Captive,LIC-IN-721512,IN,Auto,None,30,5/01/1985,209,261978.0,10.8,70008.71,88.9,47.5,25,Yes,(504) 869-3006,lisa.delgado@prairiestateins.com,"3332 Business Park Dr, IN",Anti-Fraud Certified,Gold,4,3/01/2014,Regional VP B
AGT-5188,Agent,AGT-5188,Patricia Yamamoto,Tri-State Coverage Associates,Broker,LIC-OH-735778,OH,Home,None,17,8/01/1998,123,320322.5,10.1,11447.67,74.6,79.3,16,Yes,(634) 886-4353,patricia.yamamoto@tri-statecovera.com,"336 Business Park Dr, OH",Anti-Fraud Certified,Gold,1,9/01/2014,Branch Director C
AGT-7748,Agent,AGT-7748,Brian Fitzgerald,Prairie State Insurance Partners,Independent,LIC-IN-195265,IN,Home,None,8,2/01/2007,199,252686.0,14.9,6098.69,85.5,74.0,57,Yes,(767) 651-6925,brian.fitzgerald@prairiestateins.com,"1668 Business Park Dr, IN",Life & Health Licensed,Silver,2,3/01/2014,District Manager A
AGT-1490,Agent,AGT-1490,Michael Kowalski,Central Midwest Agency,Independent,LIC-OH-589578,OH,Home,LUTCF,10,6/01/2005,158,315361.93,16.7,52667.02,74.5,43.9,61,No,(486) 657-1505,michael.kowalski@centralmidwesta.com,"3313 Business Park Dr, OH",,Silver,5,8/01/2014,Branch Director C
AGT-8292,Agent,AGT-8292,Thomas Callahan,Heartland Insurance Services,Captive,LIC-IN-935893,IN,All Lines,LUTCF,21,7/01/1994,218,403414.7,9.8,24373.43,78.7,64.1,25,Yes,(481) 386-8271,thomas.callahan@heartlandinsura.com,"2732 Business Park Dr, IN",,Silver,1,10/01/2014,Branch Director C
AGT-5805,Agent,AGT-5805,Michael Nguyen,Heartland Insurance Services,Captive,LIC-IN-619801,IN,Life,CLU,21,3/01/1994,50,209248.4,17.5,67756.78,92.1,77.4,75,Yes,(299) 528-6983,michael.nguyen@heartlandinsura.com,"922 Business Park Dr, IN",Commercial Lines Cert,Bronze,6,4/01/2014,District Manager A
AGT-6557,Agent,AGT-6557,Lisa Callahan,Prairie State Insurance Partners,Independent,LIC-IL-335262,IL,All Lines,CLU,17,11/01/1998,227,661172.55,10.9,61580.41,86.8,77.7,16,Yes,(806) 569-4589,lisa.callahan@prairiestateins.com,"2751 Business Park Dr, IL",Cyber Liability Cert,Gold,8,4/01/2014,Regional VP B
AGT-7646,Agent,AGT-7646,David Morrison,Heartland Insurance Services,Captive,LIC-IL-381984,IL,Home,CLU,16,8/01/1999,81,728895.98,14.6,41002.74,70.7,69.9,61,No,(964) 383-1447,david.morrison@heartlandinsura.com,"2437 Business Park Dr, IL",Life & Health Licensed,Silver,9,5/01/2014,District Manager A
AGT-1586,Agent,AGT-1586,Robert Yamamoto,Prairie State Insurance Partners,Broker,LIC-IN-962998,IN,Life,None,8,5/01/2007,93,591115.9,10.0,19682.24,97.1,81.2,45,Yes,(292) 408-6564,robert.yamamoto@prairiestateins.com,"4703 Business Park Dr, IN",Cyber Liability Cert,Platinum,4,3/01/2014,Branch Director C
AGT-5755,Agent,AGT-5755,Sandra Kowalski,Heartland Insurance Services,Broker,LIC-IN-201900,IN,Auto,None,11,9/01/2004,213,239353.19,12.2,8603.51,96.4,47.9,6,Yes,(795) 538-6190,sandra.kowalski@heartlandinsura.com,"9726 Business Park Dr, IN",Anti-Fraud Certified|Cyber Liability Cert,Gold,4,5/01/2014,District Manager A
AGT-9545,Agent,AGT-9545,Sandra Callahan,Prairie State Insurance Partners,Broker,LIC-OH-381972,OH,Auto,CIC,24,7/01/1991,50,696438.17,12.3,56454.86,84.6,68.8,54,Yes,(739) 589-1687,sandra.callahan@prairiestateins.com,"8659 Business Park Dr, OH",Cyber Liability Cert|Life & Health Licensed,Gold,10,2/01/2014,Branch Director C
AGT-9984,Agent,AGT-9984,James Callahan,Lakefront Coverage Group,Captive,LIC-IN-150496,IN,All Lines,LUTCF,25,1/01/1990,88,698772.33,14.7,11074.2,94.1,74.9,51,Yes,(343) 443-3654,james.callahan@lakefrontcovera.com,"4861 Business Park Dr, IN",Anti-Fraud Certified|Cyber Liability Cert,Platinum,4,5/01/2014,Branch Director C
AGT-8525,Agent,AGT-8525,Sandra Sullivan,Lakefront Coverage Group,Broker,LIC-IN-908100,IN,Home,ChFC,6,9/01/2009,197,309506.88,10.6,68397.67,73.9,40.4,7,Yes,(288) 561-8875,sandra.sullivan@lakefrontcovera.com,"7929 Business Park Dr, IN",,Silver,2,11/01/2014,Regional VP B
AGT-9835,Agent,AGT-9835,Brian Ramirez,Central Midwest Agency,Independent,LIC-OH-803940,OH,Commercial,LUTCF,30,7/01/1985,153,127870.22,17.3,68995.79,80.7,44.7,36,Yes,(445) 953-8390,brian.ramirez@centralmidwesta.com,"3374 Business Park Dr, OH",Commercial Lines Cert|Cyber Liability Cert,Gold,3,3/01/2014,Regional VP B
AGT-8300,Agent,AGT-8300,Maria Okafor,Prairie State Insurance Partners,Broker,LIC-IL-655319,IL,Life,CIC,8,9/01/2007,92,415366.16,15.4,74873.93,70.1,72.9,20,Yes,(703) 597-7014,maria.okafor@prairiestateins.com,"4796 Business Park Dr, IL",Anti-Fraud Certified|Life & Health Licensed,Gold,2,2/01/2014,District Manager A
AGT-1492,Agent,AGT-1492,Nancy Okafor,Heartland Insurance Services,Independent,LIC-IL-687637,IL,Life,CPCU,27,2/01/1988,209,196278.05,15.2,52150.71,95.6,70.1,10,Yes,(798) 278-1147,nancy.okafor@heartlandinsura.com,"4348 Business Park Dr, IL",Cyber Liability Cert|Commercial Lines Cert,Bronze,7,1/01/2014,Branch Director C
AGT-6135,Agent,AGT-6135,Maria Nguyen,Prairie State Insurance Partners,Captive,LIC-IL-969625,IL,Home,None,25,11/01/1990,145,96865.25,11.1,37090.24,75.3,77.6,27,Yes,(986) 923-6290,maria.nguyen@prairiestateins.com,"7213 Business Park Dr, IL",Anti-Fraud Certified|Commercial Lines Cert,Silver,4,2/01/2014,District Manager A
AGT-3399,Agent,AGT-3399,James Ramirez,Prairie State Insurance Partners,Captive,LIC-IL-740586,IL,Auto,None,29,12/01/1986,185,277189.2,16.8,13042.56,87.0,50.5,58,Yes,(981) 787-1253,james.ramirez@prairiestateins.com,"5819 Business Park Dr, IL",Commercial Lines Cert|Anti-Fraud Certified,Bronze,3,12/01/2014,District Manager A
AGT-3538,Agent,AGT-3538,Brian Kowalski,Midwest Auto Insurance Agency,Captive,LIC-IL-440602,IL,Life,None,2,9/01/2013,39,743903.84,13.5,48578.25,74.1,85.7,63,Yes,(993) 811-3487,brian.kowalski@midwestautoinsu.com,"9550 Business Park Dr, IL",Anti-Fraud Certified,Bronze,9,11/01/2014,District Manager A
AGT-6213,Agent,AGT-6213,James Sullivan,Midwest Auto Insurance Agency,Independent,LIC-IL-932497,IL,Commercial,None,3,2/01/2012,28,741946.69,8.6,17443.34,77.5,69.8,75,Yes,(730) 350-3735,james.sullivan@midwestautoinsu.com,"3033 Business Park Dr, IL",Cyber Liability Cert,Bronze,1,5/01/2014,District Manager A
AGT-5774,Agent,AGT-5774,Lisa Patel,Prairie State Insurance Partners,Captive,LIC-OH-496782,OH,Home,None,27,2/01/1988,162,410041.6,17.8,25783.71,90.7,68.5,15,No,(747) 399-6947,lisa.patel@prairiestateins.com,"6364 Business Park Dr, OH",Commercial Lines Cert|Cyber Liability Cert,Silver,10,4/01/2014,Regional VP B
