:ID,:LABEL,policy_number,first_name,middle_initial,last_name,full_name,date_of_birth,age,gender,marital_status,relationship_to_named_insured,blood_type,citizenship_status,ssn_last4,drivers_license_state,drivers_license_number,primary_email,work_email,phone_home,phone_mobile,phone_work,preferred_contact_method,preferred_language,do_not_call_flag,e_signature_consent,marketing_opt_in,paperless_enrolled,communication_preference,statement_delivery_preference,residential_address,mailing_address,city,state,state_full,zip_code,county,country,address_type,years_at_address,customer_since,months_as_customer,tenure_years,customer_tier,account_status,autopay_enrolled,last_login_date,last_payment_date,payment_history_score,nps_score,churn_risk_score,lifetime_value_usd,deceased_flag,occupation_code,job_title,employer_name,years_with_employer,employment_status,annual_income_band,education_level,capital_gains,capital_loss,net_financial_position,net_worth_band,bankruptcy_history,credit_tier,credit_score_estimate,risk_score,risk_band,prior_claims_count,prior_claims_note,fraud_flag,fraud_investigation_open,siu_referral_flag,watchlist_flag,high_risk_hobby_flag,hobbies_interests,household_members,licensed_drivers_in_household,has_minor_drivers,pets_in_household,social_media_presence,mobile_app_user,online_quote_origin,assigned_agent,agent_code,agency_name,ssn_hash,identity_verification_status,kyc_verified_date,device_id,device_type,browser,ip_address_last_login,ip_flagged,bank_name,bank_account_hash,bank_account_last4,payment_method_token,payment_type_preferred,fraud_history_count,identity_theft_flag,shared_phone_flag,shared_address_flag,shared_bank_flag,cross_policy_entities,linked_entity_count,synthetic_identity_flag,role_switching_flag
CUST-OH-5215-5637,Customer,521585,Gregory,J,Lewis,Gregory J. Lewis,2/2/1978,48,Male,Married,husband,B+,US Citizen,5122,OH,DL-OH-16704378,glewis76@verizon.net,,(330) 987-9131,,(330) 234-9148,Phone Call,Portuguese,No,Yes,Opted In - Postal Only,Yes,Email Primary / Postal for Legal Notices,Online Portal Only,"4300 Cedar St, Dayton, Oh 46613","4300 Cedar St, Dayton, Oh 46613",Dayton,OH,Ohio,46613,Dayton County,USA,Rented,5,10/21/1998,328,27.3,Gold,Active,No - Manual Payment,22/5/2015,4/6/2015,81,2,66,38454.72,No,craft-repair,Automotive Technician,Valley View Properties,1,Self-Employed,$60K-$100K,MD,53300,0,53300,$100K-$250K,,Preferred Plus,772,100,High,0,0 prior claim(s) on record,Y,No,No,Yes,No,sleeping,4,1,Yes,Cat,LinkedIn,Yes,No,Angela Callahan,AGT-1250,Central Midwest Agency,6813a5baec7fd809,Failed,5/01/2010,DEV-0CCBF749899A,iPad,Firefox,172.16.0.12,Yes,Bank of America,301e17e2c3845c06,1387,TOK-54DE5CA68A7F0333,Money Order,0,No,No,No,No,3,8,No,No
CUST-IN-3428-3984,Customer,342868,Charles,J,Brooks,Charles J. Brooks,9/24/1984,42,Male,Other,other-relative,B+,US Citizen,3198,IN,DL-IN-10447379,charles.brooks@live.com,,(574) 869-1132,(765) 722-1717,(574) 209-2625,Email,English,No,Yes,Opted In - All Channels,Yes,Postal Mail Only,Both Electronic and Paper,"7956 Pine Ln, Carmel, In 46817","7956 Pine Ln, Carmel, In 46817",Carmel,IN,Indiana,46817,Carmel County,USA,Rented,13,2/20/2007,228,19.0,Gold,Active,No - Manual Payment,25/6/2015,13/4/2015,90,7,58,22747.56,No,machine-op-inspct,Production Supervisor,Valley View Properties,8,Self-Employed,$60K-$100K,MD,0,0,0,$50K-$100K,,Standard,657,62,Medium,1,1 prior claim(s) on record,Y,No,Yes,No,No,reading,2,1,No,,Instagram,Yes,No,Robert Callahan,AGT-2210,Tri-State Coverage Associates,83591069a867862e,Verified,7/01/2012,DEV-BB7C38DF92AF,Desktop/Mac,Safari,192.168.1.100,Yes,PNC,4a457abc74cf6abf,1230,TOK-CCB981F0274CF00E,Check,1,No,No,No,No,5,7,Yes,No
CUST-OH-6876-4181,Customer,687698,Amy,N,Martinez,Amy N. Martinez,10/26/1997,29,Female,Other,own-child,AB-,US Citizen,4855,OH,DL-OH-37903134,amartinez98@aol.com,,(330) 447-6418,,,Postal Mail,English,No,Yes,Opted In - Postal Only,Yes,Email Only,Both Electronic and Paper,"6712 Meadow Ct, Dublin, Oh 43063","6712 Meadow Ct, Dublin, Oh 43063",Dublin,OH,Ohio,43063,Dublin County,USA,Owned,7,12/22/2014,134,11.2,Silver,Active,No - Manual Payment,2/1/2015,18/9/2015,95,2,35,15779.84,No,sales,Account Manager,North Star Consulting Group,5,Part-Time,$100K-$200K,PhD,35100,0,35100,$50K-$100K,,Preferred,715,21,Low,3,3 prior claim(s) on record,N,No,No,No,No,board-games,2,1,No,Multiple,,No,No,David Patel,AGT-1461,Heartland Insurance Services,7c336fc0cda05bfa,Verified,9/01/2014,DEV-015E24B27CD8,Desktop/Windows,Chrome,192.168.212.111,No,US Bank,19fc086640b3958e,8158,TOK-F699E40E77298D9A,ACH/Bank Transfer,0,No,No,No,No,3,8,No,No
CUST-IL-2278-6896,Customer,227811,Laura,E,Williams,Laura E. Williams,4/5/1985,41,Female,Single,unmarried,AB+,US Citizen,2667,IL,DL-IL-93567199,laura848@outlook.com,lwilliams@mil.gov,(309) 813-8337,(847) 506-2614,,Email,English,No,Yes,Opted Out - No Marketing,Yes,Email Primary / Postal for Legal Notices,Electronic (PDF via Email),"3641 Heritage St, Springfield, Il 60811","3641 Heritage St, Springfield, Il 60811",Springfield,IL,Illinois,60811,Springfield County,USA,Owned,1,10/21/2004,256,21.3,Gold,Active,No - Manual Payment,4/3/2015,26/11/2015,99,10,62,30202.88,No,armed-forces,Marine Corps Veteran,Lakefront Financial Services,10,Full-Time,$100K-$200K,PhD,48900,-62400,-13500,<$50K,,Standard,652,100,High,3,3 prior claim(s) on record,Y,No,No,Yes,No,board-games,3,3,No,Dog,,Yes,No,David Morrison,AGT-5025,Central Midwest Agency,776c32d4605295ba,Verified,3/01/2015,DEV-E4218618E609,Desktop/Windows,Unknown,192.168.216.8,No,PNC,ea8d675a674ecf8e,7565,TOK-629E825F5F6FD1A3,ACH/Bank Transfer,3,No,No,No,No,1,5,No,No
CUST-IL-3674-6740,Customer,367455,Jack,T,Thomas,Jack T. Thomas,2/12/1982,44,Male,Single,unmarried,A-,US Citizen,5932,IL,DL-IL-74338282,jack.thomas@aol.com,jthomas@commerce.com,(618) 232-2269,(312) 663-9784,,SMS Text,English,No,Yes,Opted In - Postal Only,No,Postal Mail Only,Paper Copy via Postal Mail,"560 Clearwater Cir, Bloomington, Il 61070","560 Clearwater Cir, Bloomington, Il 61070",Bloomington,IL,Illinois,61070,Bloomington County,USA,Owned,17,2/20/2007,228,19.0,Gold,Active,Yes - ACH Bank Draft,18/10/2015,17/11/2015,71,10,43,30093.72,No,sales,Sales Representative,Hoosier Logistics Inc.,5,Full-Time,$100K-$200K,Associate,66000,-46000,20000,$50K-$100K,,Standard Plus,710,41,Medium,1,1 prior claim(s) on record,N,No,No,No,No,board-games,1,1,No,,Twitter/X,No,No,Patricia Callahan,AGT-9493,Midwest Auto Insurance Agency,c05cafafc13869ec,Verified,11/01/2015,DEV-EE900078F38C,Desktop/Mac,Unknown,192.168.94.157,No,Chase,d35545b6e5a73980,409,TOK-B1C1BDF8F5B2FE26,Check,0,No,No,No,No,2,6,No,No
CUST-OH-1045-3425,Customer,104594,Angela,M,Anderson,Angela M. Anderson,1/15/1987,39,Female,Single,unmarried,AB+,Permanent Resident,5510,OH,DL-OH-41983931,angela.anderson@msn.com,,(614) 874-9630,(440) 980-5942,,SMS Text,English,No,Yes,Opted In - All Channels,Yes,Email Primary / Postal for Legal Notices,Electronic (PDF via Email),"2328 Oak Cir, Dublin, Oh 47845","2328 Oak Cir, Dublin, Oh 47845",Dublin,OH,Ohio,47845,Dublin County,USA,Owned,21,10/21/2004,256,21.3,Gold,Active,No - Manual Payment,14/5/2015,26/11/2015,65,10,7,28823.04,No,tech-support,Network Technician,Buckeye Technology Group,5,Full-Time,$60K-$100K,PhD,0,0,0,$50K-$100K,,Standard,656,100,High,1,1 prior claim(s) on record,Y,No,No,Yes,Yes,bungie-jumping,3,3,No,Cat,,Yes,No,Brian Ashworth,AGT-1338,Tri-State Coverage Associates,0a18e034ec4fe71f,Pending,7/01/2012,DEV-931E5068E86A,Unknown,Chrome,192.168.135.203,No,Chase,c22c3fec259e33ba,5266,TOK-8B1790C45D5E7B7A,ACH/Bank Transfer,1,Yes,No,No,No,1,1,No,No
CUST-IN-4139-9417,Customer,413978,Raymond,W,Jackson,Raymond W. Jackson,1/11/1992,34,Male,Married,husband,A-,US Citizen,5068,IN,DL-IN-56076111,jackson.r6@me.com,,(219) 658-4150,(574) 814-1491,,Postal Mail,English,No,Yes,Opted In - Email Only,Yes,Postal Mail Only,Electronic (PDF via Email),"816 Frontier Dr, Anderson, In 44171","Po Box 5629, Anderson, In 44171",Anderson,IN,Indiana,44171,Anderson County,USA,Owned,3,9/21/2014,137,11.4,Silver,Active,Yes - ACH Bank Draft,19/4/2015,19/3/2015,73,1,20,15222.07,No,prof-specialty,Attorney,Cardinal Health Systems,5,Full-Time,$30K-$60K,PhD,0,-77000,-77000,<$50K,,Non-Standard,566,52,Medium,2,2 prior claim(s) on record,N,No,No,No,No,board-games,5,2,Yes,Dog,Twitter/X,No,Yes,Nancy Ashworth,AGT-2269,Midwest Auto Insurance Agency,0f39d80800ddd88e,Verified,10/01/2011,DEV-490DAC1AFD77,Android,Chrome,192.168.94.34,No,Wells Fargo,db40f88a2f1fb036,6180,TOK-F5CF93195DDED381,Check,0,No,Yes,No,No,0,3,No,No
CUST-IL-4290-7860,Customer,429027,Alexander,L,Reed,Alexander L. Reed,11/19/1989,37,Male,Single,unmarried,O-,US Citizen,8890,IL,DL-IL-36506628,reed.a2@verizon.net,areed@techcorp.com,(815) 527-7818,(217) 346-9779,,Online Portal,English,No,No,Opted In - Postal Only,Yes,SMS and Email,Electronic (PDF via Email),"7842 Persimmon Ct, Waukegan, Il 60319","7842 Persimmon Ct, Waukegan, Il 60319",Waukegan,IL,Illinois,60319,Waukegan County,USA,Rented,8,5/22/2012,165,13.8,Silver,Active,No - Manual Payment,12/1/2015,1/11/2015,74,4,63,15633.75,No,tech-support,Systems Administrator,Crossroads Distribution Co.,4,Full-Time,$60K-$100K,Associate,0,0,0,$50K-$100K,,Standard,665,22,Low,0,0 prior claim(s) on record,N,No,No,No,Yes,base-jumping,3,2,No,,Facebook,Yes,No,Thomas Morrison,AGT-9175,Heartland Insurance Services,d9f55a839eb6d515,Verified,1/01/2015,DEV-3E1BB10DE4A7,Unknown,Safari,192.168.244.252,No,Citibank,bded843a206837a9,9639,TOK-1D8FE750D1EE7B79,Check,0,No,No,No,No,3,5,No,No
CUST-IL-4856-9636,Customer,485665,Sandra,R,Richardson,Sandra R. Richardson,1/4/1993,33,Female,Other,own-child,AB+,US Citizen,8598,IL,DL-IL-17845022,srichardson73@mac.com,srichardson@localwork.com,(847) 899-5169,(217) 579-9354,(847) 622-6588,Online Portal,English,No,No,Opted In - All Channels,Yes,Postal Mail Only,Both Electronic and Paper,"3478 Summit Ln, Waukegan, Il 60173","3478 Summit Ln, Waukegan, Il 60173",Waukegan,IL,Illinois,60173,Waukegan County,USA,Family-Owned,3,11/22/2023,27,2.2,Bronze,Active,Yes - ACH Bank Draft,7/3/2015,28/11/2015,88,8,62,3246.75,No,other-service,Home Health Aide,North Star Consulting Group,5,Full-Time,>$200K,PhD,0,0,0,$50K-$100K,Chapter 7,Standard,685,71,High,0,0 prior claim(s) on record,N,No,No,No,No,golf,3,3,No,Cat,,Yes,No,Maria Okafor,AGT-9881,Central Midwest Agency,75d17304e1dfd774,Failed,11/01/2013,DEV-11D003BDE422,Desktop/Mac,Edge,192.168.98.242,No,Fifth Third,dba02841c028faa0,919,TOK-9F0213E81B2AE3FC,Check,0,No,No,No,No,4,3,No,No
CUST-IL-6365-8424,Customer,636550,Ronald,E,Harris,Ronald E. Harris,4/26/1984,42,Male,Married,wife,B-,Permanent Resident,6630,IL,DL-IL-67885076,ronald.harris@verizon.net,rharris@housekeeping.com,(630) 932-8209,(847) 770-6229,,SMS Text,English,No,Yes,Opted In - Email Only,No,Email Primary / Postal for Legal Notices,Paper Copy via Postal Mail,"6642 Freedom Pl, Waukegan, Il 60098","6642 Freedom Pl, Waukegan, Il 60098",Waukegan,IL,Illinois,60098,Waukegan County,USA,Owned,9,6/21/2008,212,17.7,Gold,Active,No - Manual Payment,12/6/2015,8/1/2015,85,7,78,23243.68,No,priv-house-serv,Domestic Worker,Prairie State Industries,4,Self-Employed,$30K-$60K,PhD,0,-39300,-39300,<$50K,Chapter 7,Non-Standard,610,62,Medium,0,0 prior claim(s) on record,N,No,No,No,No,camping,3,2,No,Dog,Twitter/X,No,Yes,Thomas Sullivan,AGT-8796,Prairie State Insurance Partners,76ec38895924b152,Verified,5/01/2012,DEV-7ADCF9075CE3,iPad,Safari,192.168.175.111,No,Chase,5722937db368bc3f,8449,TOK-7C70F1228C9593F5,Check,0,No,No,No,No,4,3,No,No
