:ID,:LABEL,transaction_id,transaction_type,linked_claim_id,linked_policy_number,amount_usd,payment_account_id,payment_routing_hash,payment_method,transaction_date,bank_name,routing_number_hash,account_type,transaction_status,fraud_flag,velocity_flag,round_amount_flag,payee_name,payee_entity_id,payment_channel,is_shared_account_flag,counterparty_entity_type,days_to_payment,suspicious_timing_flag
TXN-000001,FinancialTransaction,TXN-000001,Premium Payment,,521585,7127.72,PAY-B01E0FEE37,a37ccb2e888838f9,ACH,5/10/2015,Chase,cb15909f1352,Checking,Cleared,No,No,No,Insurance Carrier,,Wire,No,Customer,6,No
TXN-000002,FinancialTransaction,TXN-000002,Premium Payment,,342868,487.25,PAY-89E86C61B2,b0a9db73e5b55b10,ACH,7/1/2015,BOA,7929123a386a,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Customer,39,No
TXN-000003,FinancialTransaction,TXN-000003,Claim Payment,CLM-687698,687698,34650.0,PAY-867A1CF6F1,afda9466ec1aba25,Credit Card,5/11/2015,BOA,ce770c0aae5a,Savings,Reversed,No,No,No,Medical Provider,CLM-687698,ACH,No,Customer,39,No
TXN-000004,FinancialTransaction,TXN-000004,Premium Payment,,687698,3187.85,PAY-867A1CF6F1,afda9466ec1aba25,ACH,22/5/2015,Wells Fargo,d14b6b1436d1,Savings,Cleared,No,No,No,Insurance Carrier,,Zelle,No,RepairShop,1,No
TXN-000005,FinancialTransaction,TXN-000005,Claim Payment,CLM-227811,227811,63400.0,PAY-B32E445BDC,79c53324b79804f1,Check,11/8/2015,Wells Fargo,b54acefae851,Savings,Cleared,No,Yes,Yes,Lienholder,CLM-227811,Zelle,No,Hospital,16,No
TXN-000006,FinancialTransaction,TXN-000006,Premium Payment,,227811,6022.54,PAY-B32E445BDC,79c53324b79804f1,Check,10/12/2015,Wells Fargo,c2cccb202d38,Savings,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Unknown,57,No
TXN-000007,FinancialTransaction,TXN-000007,Premium Payment,,367455,616.24,PAY-C0323E710E,7fce789c4727a91d,ACH,6/10/2015,Chase,9db5ce713beb,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Customer,36,No
TXN-000008,FinancialTransaction,TXN-000008,Claim Payment,CLM-104594,104594,64100.0,PAY-F7239F0A48,d3b4f1e1e522a8d6,Check,22/12/2015,BOA,3f4d1e328705,Savings,Cleared,No,Yes,Yes,Attorney,CLM-104594,Check,No,Unknown,18,No
TXN-000009,FinancialTransaction,TXN-000009,Premium Payment,,104594,6605.2,PAY-F7239F0A48,d3b4f1e1e522a8d6,Check,14/10/2015,Citibank,1e9a570eaad3,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,RepairShop,40,No
TXN-000010,FinancialTransaction,TXN-000010,Claim Payment,CLM-413978,413978,78650.0,PAY-8ADFE59DDC,d87d4189c54ad9b3,Credit Card,28/7/2015,Chase,2d58e7f34cef,Checking,Cleared,No,No,No,Medical Provider,CLM-413978,ACH,No,Hospital,41,No
TXN-000011,FinancialTransaction,TXN-000011,Premium Payment,,413978,6800.24,PAY-8ADFE59DDC,d87d4189c54ad9b3,ACH,19/7/2015,Wells Fargo,d8a1f7666041,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Lawyer,36,No
TXN-000012,FinancialTransaction,TXN-000012,Claim Payment,CLM-429027,429027,51590.0,PAY-F25D2D4CD2,b590805802e6f6ac,Direct Deposit,,BOA,287483008dc8,Checking,Cleared,No,No,No,Attorney,CLM-429027,Venmo,No,Lawyer,53,No
TXN-000013,FinancialTransaction,TXN-000013,Premium Payment,,429027,5184.38,PAY-F25D2D4CD2,b590805802e6f6ac,ACH,8/4/2015,Citibank,811b5f4cd44a,Savings,Cleared,No,No,No,Insurance Carrier,,ACH,No,Lawyer,53,No
TXN-000014,FinancialTransaction,TXN-000014,Claim Payment,CLM-485665,485665,27700.0,PAY-740D4CD166,dfa9bb0bfaf421fe,ACH,17/11/2015,Chase,73145c5312a4,Checking,Cleared,No,No,Yes,Insured,CLM-485665,Check,No,Lawyer,14,No
TXN-000015,FinancialTransaction,TXN-000015,Premium Payment,,485665,2582.54,PAY-740D4CD166,dfa9bb0bfaf421fe,ACH,26/8/2015,Wells Fargo,e638a9c2fea8,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Lawyer,4,No
TXN-000016,FinancialTransaction,TXN-000016,Premium Payment,,636550,3874.14,PAY-34DAC6B71F,dc1293b93b6f0ff3,Credit Card,23/3/2015,Citibank,d923ea9f908c,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Hospital,12,No
TXN-000017,FinancialTransaction,TXN-000017,Claim Payment,CLM-543610,543610,87010.0,PAY-AB9FE0CF30,5cc392d2bdea2371,Check,19/4/2015,Wells Fargo,c2791862de5b,Checking,Cleared,No,No,No,Attorney,CLM-543610,ACH,No,Customer,10,No
TXN-000018,FinancialTransaction,TXN-000018,Premium Payment,,543610,8034.22,PAY-AB9FE0CF30,5cc392d2bdea2371,Check,17/11/2015,Wells Fargo,207ad4e004a5,Checking,Cleared,No,No,No,Insurance Carrier,,ACH,No,Lawyer,4,No
TXN-000019,FinancialTransaction,TXN-000019,Claim Payment,CLM-214618,214618,114920.0,PAY-5A90244DA8,6a5f22b2fcffc348,Credit Card,21/8/2015,Chase,ff12db626e0f,Savings,Cleared,No,No,No,Lienholder,CLM-214618,Check,No,Customer,42,No
TXN-000020,FinancialTransaction,TXN-000020,Premium Payment,,214618,10725.49,PAY-5A90244DA8,6a5f22b2fcffc348,Check,2/11/2015,Wells Fargo,2834674f16a1,Checking,Cleared,No,No,No,Insurance Carrier,,Check,No,Unknown,23,No
TXN-000021,FinancialTransaction,TXN-000021,Claim Payment,CLM-842643,842643,56520.0,PAY-55F4F6C2EE,d0ec92d707016d20,Direct Deposit,18/4/2015,Chase,899e429c4a55,Checking,Cleared,No,No,No,Medical Provider,CLM-842643,ACH,No,Customer,3,No
TXN-000022,FinancialTransaction,TXN-000022,Premium Payment,,842643,5625.23,PAY-55F4F6C2EE,d0ec92d707016d20,ACH,24/5/2015,Wells Fargo,7ae37d0094c4,Savings,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Unknown,10,No
TXN-000023,FinancialTransaction,TXN-000023,Premium Payment,,626808,710.91,PAY-0A93C10E72,5e70fcb3bd3521b3,ACH,6/1/2015,BOA,d91d747e06eb,Checking,Cleared,No,No,No,Insurance Carrier,,ACH,No,Customer,55,No
TXN-000024,FinancialTransaction,TXN-000024,Claim Payment,CLM-644081,644081,46200.0,PAY-8A167A9C68,77b147303e810f1f,Direct Deposit,23/2/2015,Chase,d404794c7f81,Checking,Cleared,No,Yes,Yes,Repair Shop,CLM-644081,Venmo,No,Unknown,3,No
TXN-000025,FinancialTransaction,TXN-000025,Premium Payment,,644081,4352.93,PAY-8A167A9C68,77b147303e810f1f,Credit Card,8/1/2015,Wells Fargo,9adff6647a81,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Customer,43,No
TXN-000026,FinancialTransaction,TXN-000026,Claim Payment,CLM-892874,892874,63120.0,PAY-8CC8B22FC6,379b17a08bc83c4a,Direct Deposit,,Wells Fargo,4e797e786101,Checking,Cleared,No,No,No,Repair Shop,CLM-892874,Venmo,No,Customer,37,No
TXN-000027,FinancialTransaction,TXN-000027,Premium Payment,,892874,6040.85,PAY-8CC8B22FC6,379b17a08bc83c4a,Check,20/9/2015,Wells Fargo,8bb92992de1e,Checking,Pending,No,No,No,Insurance Carrier,,Zelle,No,Hospital,54,No
TXN-000028,FinancialTransaction,TXN-000028,Claim Payment,CLM-558938,558938,52110.0,PAY-2C1ACDFDD2,b7149c729dbda287,ACH,,Chase,e453fc63d907,Checking,Cleared,No,No,No,Attorney,CLM-558938,Zelle,No,Unknown,39,No
TXN-000029,FinancialTransaction,TXN-000029,Premium Payment,,558938,5313.13,PAY-2C1ACDFDD2,b7149c729dbda287,ACH,3/11/2015,BOA,a81218cadd02,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Customer,20,No
TXN-000030,FinancialTransaction,TXN-000030,Claim Payment,CLM-275265,275265,77880.0,PAY-7870568CAD,e26ef4270a75d5ac,ACH,,Citibank,ad63ea687929,Savings,Cleared,No,No,No,Repair Shop,CLM-275265,Venmo,No,Hospital,22,No
TXN-000031,FinancialTransaction,TXN-000031,Premium Payment,,275265,7001.55,PAY-7870568CAD,e26ef4270a75d5ac,ACH,5/8/2015,Wells Fargo,6507dc5a79fd,Checking,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Hospital,59,No
TXN-000032,FinancialTransaction,TXN-000032,Claim Payment,CLM-921202,921202,72930.0,PAY-2410AC9647,cb75a09e9758a408,Wire Transfer,,Chase,e1fcd2707f9f,Checking,Pending,No,No,No,Repair Shop,CLM-921202,ACH,No,Unknown,6,No
TXN-000033,FinancialTransaction,TXN-000033,Premium Payment,,921202,7336.84,PAY-2410AC9647,cb75a09e9758a408,Check,28/10/2015,BOA,1c95345c3897,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Customer,4,No
TXN-000034,FinancialTransaction,TXN-000034,Premium Payment,,143972,4842.85,PAY-229258B3F3,270cf9f472d341e9,Check,7/10/2015,Citibank,62bad916544b,Savings,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Hospital,7,No
TXN-000035,FinancialTransaction,TXN-000035,Premium Payment,,183430,4194.75,PAY-A89A8CE755,5721cc06a482679a,Check,23/7/2015,Wells Fargo,83fff9049778,Savings,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Lawyer,27,No
