:ID,:LABEL,officer_id,officer_name,first_name,last_name,badge_number,rank,department,department_type,precinct,district,city,state,badge_issued_date,years_on_force,hire_date,shift,unit,cases_handled_ytd,accident_reports_ytd,arrests_ytd,commendations,disciplinary_actions,training_certifications,accident_reconstruction_certified,dui_certified,phone,email,supervisor_badge,reports_filed_this_claim,active_status
OFF-5549,PoliceOfficer,OFF-5549,Officer Barbara Taylor,Barbara,Taylor,5549,Detective,Metropolitan Police Department,County Sheriff,Precinct 2,District 2,Columbia,SC,9/01/2014,1,2/01/2014,Evening (3PM-11PM),Patrol,129,95,32,9,2,DUI Enforcement|Evidence Collection|Crisis Intervention,Yes,No,(202) 242-8829,badge.5549@scpd.gov,7610,1,Active
OFF-3984,PoliceOfficer,OFF-3984,Officer Michael Anderson,Michael,Anderson,3984,Senior Officer,County Sheriff Police Department,State Highway Patrol,Precinct 7,District 5,Richmond,VA,2/01/1989,26,12/01/1989,Evening (3PM-11PM),Detective Bureau,354,24,28,6,0,EVOC (Emergency Driving)|Traffic Investigation|Crisis Intervention,No,Yes,(859) 266-2324,badge.3984@vapd.gov,2899,1,Active
OFF-9736,PoliceOfficer,OFF-9736,Officer Maria Miller,Maria,Miller,9736,Captain,State Highway Patrol Police Department,Municipal,Precinct 15,District 3,Albany,NY,12/01/2011,4,5/01/2011,Rotating,Patrol,239,65,76,8,0,Crisis Intervention|Traffic Investigation,No,Yes,(731) 856-8916,badge.9736@nypd.gov,2900,1,Active
OFF-6310,PoliceOfficer,OFF-6310,Officer Maria Garcia,Maria,Garcia,6310,Lieutenant,State Highway Patrol Police Department,Transit,Precinct 11,District 1,Richmond,VA,8/01/2009,6,3/01/2009,Evening (3PM-11PM),Patrol,355,101,46,0,0,Evidence Collection,Yes,Yes,(680) 595-5632,badge.6310@vapd.gov,2600,1,Active
OFF-8547,PoliceOfficer,OFF-8547,Officer David Martinez,David,Martinez,8547,Sergeant,Metropolitan Police Department,Transit,Precinct 13,District 8,Charleston,WV,5/01/1997,18,9/01/1997,Night (11PM-7AM),Detective Bureau,367,31,31,7,2,DUI Enforcement|Crisis Intervention|Accident Reconstruction,Yes,Yes,(590) 246-6475,badge.8547@wvpd.gov,1308,1,Active
OFF-3530,PoliceOfficer,OFF-3530,Officer Karen Moore,Karen,Moore,3530,Sergeant,State Highway Patrol Police Department,County Sheriff,Precinct 11,District 8,Raleigh,NC,12/01/2013,2,6/01/2013,Evening (3PM-11PM),K9,208,143,46,6,1,Accident Reconstruction|Crisis Intervention,No,No,(711) 434-5438,badge.3530@ncpd.gov,4179,1,Active
OFF-6784,PoliceOfficer,OFF-6784,Officer Karen White,Karen,White,6784,Detective,County Sheriff Police Department,County Sheriff,Precinct 9,District 6,Albany,NY,7/01/2000,15,1/01/2000,Night (11PM-7AM),Detective Bureau,250,20,18,0,2,Accident Reconstruction,No,No,(513) 678-9329,badge.6784@nypd.gov,3276,1,Active
OFF-1499,PoliceOfficer,OFF-1499,Officer Michael Brown,Michael,Brown,1499,Officer,Metropolitan Police Department,Transit,Precinct 20,District 2,Columbia,SC,4/01/1995,20,8/01/1995,Evening (3PM-11PM),Patrol,176,70,77,3,0,DUI Enforcement|Accident Reconstruction,Yes,Yes,(891) 548-6647,badge.1499@scpd.gov,9936,1,Active
OFF-3810,PoliceOfficer,OFF-3810,Officer Karen Anderson,Karen,Anderson,3810,Senior Officer,Metropolitan Police Department,Municipal,Precinct 18,District 5,Columbia,SC,10/01/1993,22,3/01/1993,Day (7AM-3PM),K9,72,92,35,3,1,Crisis Intervention|EVOC (Emergency Driving)|Evidence Collection,No,No,(615) 267-9351,badge.3810@scpd.gov,4227,1,Active
OFF-8498,PoliceOfficer,OFF-8498,Officer Robert Thompson,Robert,Thompson,8498,Officer,Municipal Police Department,County Sheriff,Precinct 20,District 2,Albany,NY,4/01/1992,23,5/01/1992,Evening (3PM-11PM),Patrol,269,60,38,12,2,Evidence Collection|Crisis Intervention|Traffic Investigation|Accident Reconstruction,Yes,Yes,(490) 641-3269,badge.8498@nypd.gov,9178,1,Active
OFF-2383,PoliceOfficer,OFF-2383,Officer James Robinson,James,Robinson,2383,Officer,Metropolitan Police Department,County Sheriff,Precinct 20,District 8,Charleston,WV,3/01/2002,13,1/01/2002,Evening (3PM-11PM),Patrol,174,136,67,2,0,DUI Enforcement|EVOC (Emergency Driving)|Crisis Intervention,No,Yes,(614) 605-7691,badge.2383@wvpd.gov,4753,1,Active
OFF-8647,PoliceOfficer,OFF-8647,Officer Barbara Taylor,Barbara,Taylor,8647,Officer,State Highway Patrol Police Department,County Sheriff,Precinct 3,District 3,Albany,NY,1/01/2009,6,10/01/2009,Night (11PM-7AM),Patrol,29,116,6,5,1,Evidence Collection|Traffic Investigation|DUI Enforcement,Yes,Yes,(784) 747-7824,badge.8647@nypd.gov,2497,1,Active
OFF-8261,PoliceOfficer,OFF-8261,Officer Patricia Martinez,Patricia,Martinez,8261,Sergeant,County Sheriff Police Department,County Sheriff,Precinct 3,District 2,Columbia,SC,2/01/2005,10,12/01/2005,Day (7AM-3PM),Detective Bureau,317,66,18,4,1,Traffic Investigation|Evidence Collection|DUI Enforcement|EVOC (Emergency Driving),No,No,(587) 838-9614,badge.8261@scpd.gov,4063,1,Active
OFF-2338,PoliceOfficer,OFF-2338,Officer Linda Harris,Linda,Harris,2338,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 20,District 7,Columbia,SC,1/01/1991,24,10/01/1991,Day (7AM-3PM),Patrol,222,91,43,11,0,Evidence Collection|Accident Reconstruction,No,Yes,(471) 825-5850,badge.2338@scpd.gov,4008,1,Active
OFF-8561,PoliceOfficer,OFF-8561,Officer David Robinson,David,Robinson,8561,Senior Officer,County Sheriff Police Department,Transit,Precinct 9,District 2,Charleston,WV,9/01/1997,18,3/01/1997,Day (7AM-3PM),Special Investigations,356,97,17,4,0,DUI Enforcement|Accident Reconstruction|Evidence Collection|EVOC (Emergency Driving),No,Yes,(968) 955-3482,badge.8561@wvpd.gov,7786,1,Active
OFF-1410,PoliceOfficer,OFF-1410,Officer William Robinson,William,Robinson,1410,Officer,Municipal Police Department,State Highway Patrol,Precinct 9,District 5,Columbus,OH,3/01/1993,22,7/01/1993,Rotating,Detective Bureau,245,44,56,2,0,Crisis Intervention|EVOC (Emergency Driving)|Traffic Investigation|DUI Enforcement,No,No,(210) 561-6708,badge.1410@ohpd.gov,6951,1,Active
OFF-5766,PoliceOfficer,OFF-5766,Officer Karen Jackson,Karen,Jackson,5766,Sergeant,Municipal Police Department,Transit,Precinct 1,District 8,Philadelphia,PA,5/01/2001,14,11/01/2001,Day (7AM-3PM),Special Investigations,272,80,23,1,1,DUI Enforcement|EVOC (Emergency Driving)|Traffic Investigation|Evidence Collection,Yes,Yes,(666) 462-7490,badge.5766@papd.gov,1292,1,Active
OFF-6629,PoliceOfficer,OFF-6629,Officer William Brown,William,Brown,6629,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 16,District 7,Columbia,SC,6/01/1993,22,2/01/1993,Day (7AM-3PM),K9,321,91,78,0,1,EVOC (Emergency Driving)|Traffic Investigation,No,No,(507) 269-6947,badge.6629@scpd.gov,4998,1,Active
