:ID,:LABEL,statement_id,full_name,first_name,last_name,age,date_of_birth,gender,occupation,employer,phone,alt_phone,email,residential_address,city,state,zip_code,statement_date,statement_id_ref,claim_id,incident_state,distance_from_scene_ft,relationship_to_claimant,deposition_ready,willing_to_testify,reliability_score,reliability_note,prior_testimony_count,prior_testimony_flag,criminal_record_flag,statement_recorded,statement_notarized,cross_claim_appearance_count,contacted_by_attorney,credibility_flag,same_name_claims_count,professional_witness_flag,same_phone_claims_count,same_address_claims_count,compensation_received_flag,coached_statement_flag
WS-521585-W1,Witness,WS-521585-W1,Ryan Collins,Ryan,Collins,19,1/2/1996,Female,Real Estate Agent Who Had Just Parked,County Government,(317) 987-1630,(716) 444-4806,ryan.collins@yahoo.com,"7203 Oak Dr, Greenville, SC",Greenville,SC,18561,1/25/2015,WS-521585-W1,CLM-521585,SC,335,Unknown,Unknown,No,87,No prior testimony history,1,No,No,Audio,No,1,No,HIGH,5,Yes,1,1,No,No
WS-521585-W2,Witness,WS-521585-W2,Ashley Baker,Ashley,Baker,22,9/18/1993,Male,Rideshare Driver,Unemployed,(995) 273-3386,(331) 852-6510,ashley.baker@outlook.com,"3615 Main Dr, Spartanburg, SC",Spartanburg,SC,37833,1/25/2015,WS-521585-W2,CLM-521585,SC,103,Stranger/Bystander,Yes,Yes,45,Consistent with physical evidence,4,Yes,No,Written,No,1,No,LOW,4,Yes,1,1,No,No
WS-687698-W1,Witness,WS-687698-W1,Susan Mitchell,Susan,Mitchell,36,11/21/1979,Male,Nurse Heading To Work,County Government,(564) 237-5080,(902) 565-4269,susan.mitchell@yahoo.com,"2265 Cedar St, Rochester, NY",Rochester,NY,96063,2/22/2015,WS-687698-W1,CLM-687698,NY,470,Passerby,Yes,Unknown,58,Prior testimony flagged,0,No,No,Video,Yes,1,No,MEDIUM,3,Yes,1,1,No,No
WS-687698-W2,Witness,WS-687698-W2,Angela Green,Angela,Green,50,2/12/1965,Male,School Bus Driver,Retired,(274) 668-6660,,angela.green@outlook.com,"9716 Oak Dr, New York, NY",New York,NY,86079,2/22/2015,WS-687698-W2,CLM-687698,NY,85,Passerby,Yes,Yes,91,Inconsistency in timeline,1,No,No,Video,No,1,No,HIGH,4,Yes,1,1,No,No
WS-687698-W3,Witness,WS-687698-W3,Jason Green,Jason,Green,49,5/2/1966,Female,Mail Carrier,Retired,(246) 635-6291,,jason.green@yahoo.com,"657 Main Blvd, Rochester, NY",Rochester,NY,21896,2/22/2015,WS-687698-W3,CLM-687698,NY,471,Stranger/Bystander,Unknown,Yes,98,No prior testimony history,2,No,No,Written,No,1,No,HIGH,4,Yes,1,1,Yes,Yes
WS-227811-W1,Witness,WS-227811-W1,Linda Collins,Linda,Collins,24,2/28/1991,Male,Delivery Driver,Self-Employed,(494) 774-6803,,linda.collins@gmail.com,"2818 Main Ave, Cleveland, OH",Cleveland,OH,92022,1/10/2015,WS-227811-W1,CLM-227811,OH,203,Stranger/Bystander,Yes,Yes,44,No prior testimony history,1,No,No,Written,No,1,Yes,LOW,3,Yes,1,1,Yes,No
WS-227811-W2,Witness,WS-227811-W2,Eric Clark,Eric,Clark,46,11/4/1969,Male,Jogger,City of Cleveland,(605) 811-6278,,eric.clark@gmail.com,"5468 Pine St, Cleveland, OH",Cleveland,OH,73586,1/10/2015,WS-227811-W2,CLM-227811,OH,99,Stranger/Bystander,Unknown,Unknown,87,Corroborated by dashcam,2,No,No,Video,No,1,Yes,HIGH,4,Yes,1,1,Yes,No
WS-367455-W1,Witness,WS-367455-W1,Paul Green,Paul,Green,59,3/17/1956,Male,Cyclist,County Government,(548) 576-5487,(372) 606-1354,paul.green@gmail.com,"3311 Main Ave, Albany, NY",Albany,NY,42172,2/17/2015,WS-367455-W1,CLM-367455,NY,273,Coworker,Yes,Yes,74,Statement matches police report,4,Yes,No,Written,Yes,1,Yes,MEDIUM,5,Yes,1,1,No,Yes
WS-104594-W1,Witness,WS-104594-W1,Jennifer Green,Jennifer,Green,32,9/16/1983,Female,Rideshare Driver,Unemployed,(969) 779-5200,(862) 749-4489,jennifer.green@yahoo.com,"8324 Cedar Blvd, Columbia, SC",Columbia,SC,26444,1/2/2015,WS-104594-W1,CLM-104594,SC,365,Unknown,No,Unknown,61,Inconsistency in timeline,0,No,No,Written,Yes,1,No,MEDIUM,5,Yes,1,1,Yes,No
WS-104594-W2,Witness,WS-104594-W2,Thomas Green,Thomas,Green,19,10/7/1996,Male,Delivery Driver,Self-Employed,(386) 908-3242,,thomas.green@gmail.com,"5140 Pine Ave, Greenville, SC",Greenville,SC,13286,1/2/2015,WS-104594-W2,CLM-104594,SC,250,Stranger/Bystander,Yes,Unknown,81,Prior testimony flagged,3,Yes,No,Written,Yes,1,No,HIGH,4,Yes,1,1,Yes,No
