:START_ID,:END_ID,:TYPE,relationship_detail,shared_last_name,confidence,age_gap
CUST-OH-8044-9316,CUST-OH-5215-5637,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,-8.0
CUST-OH-8044-9316,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,5.0
CUST-OH-7569-6776,CUST-OH-5215-5637,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,-10.0
CUST-OH-7569-6776,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,3.0
CUST-OH-4307-3612,CUST-OH-5215-5637,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,1.0
CUST-OH-4307-3612,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,14.0
CUST-OH-2211-9269,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,HIGH,18.0
CUST-OH-6876-4181,CUST-OH-9523-8454,CHILD_OF,Biological/Legal Child,Martinez,MEDIUM,8.0
CUST-IL-2830-2644,CUST-IL-7247-1214,CHILD_OF,Biological/Legal Child,Thomas,MEDIUM,10.0
CUST-IL-5311-1436,CUST-IL-7247-1214,CHILD_OF,Biological/Legal Child,Thomas,MEDIUM,-15.0
CUST-IL-4856-9636,CUST-IL-7696-9665,CHILD_OF,Biological/Legal Child,Richardson,MEDIUM,11.0
CUST-IL-3567-5851,CUST-IL-9766-5133,CHILD_OF,Biological/Legal Child,Harris,MEDIUM,6.0
CUST-OH-8047-5192,CUST-OH-5026-7294,CHILD_OF,Biological/Legal Child,Rivera,MEDIUM,7.0
CUST-OH-5947-5696,CUST-OH-8426-7028,CHILD_OF,Biological/Legal Child,Watson,HIGH,-24.0
CUST-OH-5947-5696,CUST-OH-1918-3058,CHILD_OF,Biological/Legal Child,Watson,HIGH,-19.0
CUST-OH-5589-5313,CUST-OH-2190-9253,CHILD_OF,Biological/Legal Child,Stewart,HIGH,19.0
CUST-OH-9541-2963,CUST-OH-8652-9260,CHILD_OF,Biological/Legal Child,Stewart,MEDIUM,-2.0
CUST-OH-9541-2963,CUST-OH-2190-9253,CHILD_OF,Biological/Legal Child,Stewart,MEDIUM,4.0
CUST-OH-1178-2389,CUST-OH-8652-9260,CHILD_OF,Biological/Legal Child,Stewart,MEDIUM,3.0
CUST-OH-1178-2389,CUST-OH-2190-9253,CHILD_OF,Biological/Legal Child,Stewart,MEDIUM,9.0
CUST-IN-1834-4577,CUST-IN-7184-3887,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,-17.0
CUST-IN-1834-4577,CUST-IN-5016-2427,CHILD_OF,Biological/Legal Child,Robinson,HIGH,-21.0
CUST-IN-1834-4577,CUST-IN-4037-5707,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,-8.0
CUST-IN-1834-4577,CUST-IN-9205-3443,CHILD_OF,Biological/Legal Child,Robinson,HIGH,-32.0
CUST-IN-6202-9905,CUST-IN-7184-3887,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,6.0
CUST-IN-6202-9905,CUST-IN-5016-2427,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,2.0
CUST-IN-6202-9905,CUST-IN-4037-5707,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,15.0
CUST-IN-6202-9905,CUST-IN-9205-3443,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,-9.0
CUST-IN-9533-3622,CUST-IN-7184-3887,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,-15.0
CUST-IN-9533-3622,CUST-IN-5016-2427,CHILD_OF,Biological/Legal Child,Robinson,HIGH,-19.0
CUST-IN-9533-3622,CUST-IN-4037-5707,CHILD_OF,Biological/Legal Child,Robinson,MEDIUM,-6.0
CUST-IN-9533-3622,CUST-IN-9205-3443,CHILD_OF,Biological/Legal Child,Robinson,HIGH,-30.0
CUST-IL-4318-6927,CUST-IL-3697-7156,CHILD_OF,Biological/Legal Child,Cooper,MEDIUM,12.0
CUST-IL-1277-4693,CUST-IL-3697-7156,CHILD_OF,Biological/Legal Child,Cooper,HIGH,30.0
CUST-IL-8520-9861,CUST-IL-4755-4089,CHILD_OF,Biological/Legal Child,Roberts,HIGH,-32.0
CUST-IL-8520-9861,CUST-IL-9425-7922,CHILD_OF,Biological/Legal Child,Roberts,HIGH,-33.0
CUST-IL-8520-9861,CUST-IL-8898-3022,CHILD_OF,Biological/Legal Child,Roberts,HIGH,-18.0
CUST-IL-8520-9861,CUST-IL-6622-2955,CHILD_OF,Biological/Legal Child,Roberts,HIGH,-34.0
CUST-IN-1153-1006,CUST-IN-4259-5216,CHILD_OF,Biological/Legal Child,Ruiz,HIGH,-24.0
CUST-IN-1153-1006,CUST-IN-5140-7970,CHILD_OF,Biological/Legal Child,Ruiz,HIGH,-28.0
CUST-IN-7280-5035,CUST-IN-5535-3227,CHILD_OF,Biological/Legal Child,Roberts,MEDIUM,-13.0
CUST-IN-1484-5001,CUST-IN-5535-3227,CHILD_OF,Biological/Legal Child,Roberts,MEDIUM,12.0
CUST-IN-8632-5212,CUST-IN-2051-2050,CHILD_OF,Biological/Legal Child,Green,MEDIUM,-12.0
CUST-IN-8632-5212,CUST-IN-9134-1874,CHILD_OF,Biological/Legal Child,Green,MEDIUM,-13.0
CUST-IL-9904-8661,CUST-IL-9086-1612,CHILD_OF,Biological/Legal Child,Green,MEDIUM,-12.0
CUST-IL-9904-8661,CUST-IL-6518-4841,CHILD_OF,Biological/Legal Child,Green,MEDIUM,2.0
CUST-IL-4571-5592,CUST-IL-2475-3382,CHILD_OF,Biological/Legal Child,Moore,MEDIUM,13.0
CUST-IL-3057-1553,CUST-IL-6330-8823,CHILD_OF,Biological/Legal Child,Miller,MEDIUM,-12.0
CUST-IN-9198-8508,CUST-IN-8058-9199,CHILD_OF,Biological/Legal Child,Ramirez,MEDIUM,16.0
CUST-IN-9198-8508,CUST-IN-5282-5132,CHILD_OF,Biological/Legal Child,Ramirez,HIGH,28.0
CUST-IN-1795-1311,CUST-IN-9828-7272,CHILD_OF,Biological/Legal Child,Bell,MEDIUM,4.0
CUST-IN-1795-1311,CUST-IN-1365-2505,CHILD_OF,Biological/Legal Child,Bell,MEDIUM,7.0
CUST-IN-1759-5733,CUST-IN-9828-7272,CHILD_OF,Biological/Legal Child,Bell,MEDIUM,-5.0
CUST-IN-1759-5733,CUST-IN-1365-2505,CHILD_OF,Biological/Legal Child,Bell,MEDIUM,-2.0
CUST-IN-6186-1878,CUST-IN-1711-8953,CHILD_OF,Biological/Legal Child,Gonzalez,MEDIUM,-4.0
CUST-IN-6186-1878,CUST-IN-6588-6447,CHILD_OF,Biological/Legal Child,Gonzalez,MEDIUM,-8.0
CUST-IN-2272-1156,CUST-IN-1711-8953,CHILD_OF,Biological/Legal Child,Gonzalez,MEDIUM,-15.0
CUST-IN-2272-1156,CUST-IN-6588-6447,CHILD_OF,Biological/Legal Child,Gonzalez,HIGH,-19.0
CUST-OH-7904-1324,CUST-OH-8864-9511,CHILD_OF,Biological/Legal Child,Turner,HIGH,18.0
CUST-OH-6620-7819,CUST-OH-8864-9511,CHILD_OF,Biological/Legal Child,Turner,MEDIUM,6.0
CUST-IL-7607-3793,CUST-IL-3892-9642,CHILD_OF,Biological/Legal Child,Stewart,MEDIUM,-5.0
CUST-IN-6404-6762,CUST-IN-5291-2572,CHILD_OF,Biological/Legal Child,Wright,HIGH,-25.0
CUST-IN-6404-6762,CUST-IN-5962-8195,CHILD_OF,Biological/Legal Child,Wright,MEDIUM,-13.0
CUST-IN-6404-6762,CUST-IN-5053-8752,CHILD_OF,Biological/Legal Child,Wright,MEDIUM,-15.0
CUST-IN-6404-6762,CUST-IN-8921-3216,CHILD_OF,Biological/Legal Child,Wright,HIGH,-19.0
CUST-IL-7353-5943,CUST-IL-5820-3991,CHILD_OF,Biological/Legal Child,Martin,MEDIUM,-11.0
CUST-IL-7353-5943,CUST-IL-8968-7411,CHILD_OF,Biological/Legal Child,Martin,MEDIUM,-7.0
CUST-IL-2432-4094,CUST-IL-5820-3991,CHILD_OF,Biological/Legal Child,Martin,MEDIUM,-4.0
CUST-IL-2432-4094,CUST-IL-8968-7411,CHILD_OF,Biological/Legal Child,Martin,MEDIUM,0.0
CUST-IL-1100-3180,CUST-IL-5820-3991,CHILD_OF,Biological/Legal Child,Martin,MEDIUM,0.0
CUST-IL-1100-3180,CUST-IL-8968-7411,CHILD_OF,Biological/Legal Child,Martin,MEDIUM,4.0
CUST-OH-6911-5096,CUST-OH-8766-8159,CHILD_OF,Biological/Legal Child,Torres,HIGH,-36.0
CUST-OH-6911-5096,CUST-OH-7143-7671,CHILD_OF,Biological/Legal Child,Torres,MEDIUM,-2.0
CUST-IL-5003-3555,CUST-IL-5375-7959,CHILD_OF,Biological/Legal Child,White,MEDIUM,-14.0
CUST-IL-5003-3555,CUST-IL-4209-6347,CHILD_OF,Biological/Legal Child,White,MEDIUM,-5.0
