:START_ID,:END_ID,:TYPE,relationship_detail,shared_last_name,confidence,age_gap
CUST-OH-5215-5637,CUST-OH-2126-5740,SPOUSE_OF,Married,Lewis,HIGH,
CUST-OH-2126-5740,CUST-OH-5215-5637,SPOUSE_OF,Married,Lewis,HIGH,
CUST-OH-8044-9316,CUST-OH-5215-5637,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,-8.0
CUST-OH-5215-5637,CUST-OH-8044-9316,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,-8.0
CUST-OH-8044-9316,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,5.0
CUST-OH-2126-5740,CUST-OH-8044-9316,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,5.0
CUST-OH-7569-6776,CUST-OH-5215-5637,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,-10.0
CUST-OH-5215-5637,CUST-OH-7569-6776,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,-10.0
CUST-OH-7569-6776,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,3.0
CUST-OH-2126-5740,CUST-OH-7569-6776,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,3.0
CUST-OH-4307-3612,CUST-OH-5215-5637,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,1.0
CUST-OH-5215-5637,CUST-OH-4307-3612,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,1.0
CUST-OH-4307-3612,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,MEDIUM,14.0
CUST-OH-2126-5740,CUST-OH-4307-3612,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,14.0
CUST-OH-2211-9269,CUST-OH-2126-5740,CHILD_OF,Biological/Legal Child,Lewis,HIGH,18.0
CUST-OH-2126-5740,CUST-OH-2211-9269,PARENT_OF,Biological/Legal Parent,Lewis,HIGH,18.0
CUST-OH-8044-9316,CUST-OH-7569-6776,SIBLING_OF,Same-family Child,Lewis,HIGH,2.0
CUST-OH-7569-6776,CUST-OH-8044-9316,SIBLING_OF,Same-family Child,Lewis,HIGH,2.0
CUST-OH-8044-9316,CUST-OH-4307-3612,SIBLING_OF,Same-family Child,Lewis,HIGH,9.0
CUST-OH-4307-3612,CUST-OH-8044-9316,SIBLING_OF,Same-family Child,Lewis,HIGH,9.0
CUST-OH-8044-9316,CUST-OH-2211-9269,SIBLING_OF,Same-family Child,Lewis,HIGH,13.0
CUST-OH-2211-9269,CUST-OH-8044-9316,SIBLING_OF,Same-family Child,Lewis,HIGH,13.0
CUST-OH-7569-6776,CUST-OH-4307-3612,SIBLING_OF,Same-family Child,Lewis,HIGH,11.0
CUST-OH-4307-3612,CUST-OH-7569-6776,SIBLING_OF,Same-family Child,Lewis,HIGH,11.0
CUST-OH-7569-6776,CUST-OH-2211-9269,SIBLING_OF,Same-family Child,Lewis,HIGH,15.0
CUST-OH-2211-9269,CUST-OH-7569-6776,SIBLING_OF,Same-family Child,Lewis,HIGH,15.0
CUST-OH-4307-3612,CUST-OH-2211-9269,SIBLING_OF,Same-family Child,Lewis,HIGH,4.0
CUST-OH-2211-9269,CUST-OH-4307-3612,SIBLING_OF,Same-family Child,Lewis,HIGH,4.0
CUST-IN-3428-3984,CUST-IN-9515-4564,RELATIVE_OF,Other Relative,Brooks,MEDIUM,12.0
CUST-IN-3428-3984,CUST-IN-8440-8336,RELATIVE_OF,Other Relative,Brooks,LOW,12.0
CUST-IN-8440-8336,CUST-IN-9515-4564,RELATIVE_OF,Other Relative,Brooks,MEDIUM,0.0
CUST-OH-6876-4181,CUST-OH-9523-8454,CHILD_OF,Biological/Legal Child,Martinez,MEDIUM,8.0
CUST-OH-9523-8454,CUST-OH-6876-4181,PARENT_OF,Biological/Legal Parent,Martinez,MEDIUM,8.0
CUST-IL-1118-4772,CUST-IL-5638-3026,SPOUSE_OF,Married,Williams,HIGH,
CUST-IL-5638-3026,CUST-IL-1118-4772,SPOUSE_OF,Married,Williams,HIGH,
CUST-IL-2830-2644,CUST-IL-7247-1214,CHILD_OF,Biological/Legal Child,Thomas,MEDIUM,10.0
CUST-IL-7247-1214,CUST-IL-2830-2644,PARENT_OF,Biological/Legal Parent,Thomas,MEDIUM,10.0
CUST-IL-5311-1436,CUST-IL-7247-1214,CHILD_OF,Biological/Legal Child,Thomas,MEDIUM,-15.0
CUST-IL-7247-1214,CUST-IL-5311-1436,PARENT_OF,Biological/Legal Parent,Thomas,MEDIUM,-15.0
CUST-IL-2830-2644,CUST-IL-5311-1436,SIBLING_OF,Same-family Child,Thomas,MEDIUM,25.0
CUST-IL-5311-1436,CUST-IL-2830-2644,SIBLING_OF,Same-family Child,Thomas,MEDIUM,25.0
CUST-IL-1549-9239,CUST-IL-7247-1214,RELATIVE_OF,Other Relative,Thomas,MEDIUM,17.0
CUST-IL-1549-9239,CUST-IL-2830-2644,RELATIVE_OF,Other Relative,Thomas,MEDIUM,7.0
CUST-IL-1549-9239,CUST-IL-5311-1436,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Thomas,MEDIUM,32.0
CUST-OH-1181-4563,CUST-OH-6698-5768,SPOUSE_OF,Married,Anderson,HIGH,
CUST-OH-6698-5768,CUST-OH-1181-4563,SPOUSE_OF,Married,Anderson,HIGH,
CUST-IN-4139-9417,CUST-IN-3866-4538,SPOUSE_OF,Married,Jackson,HIGH,
CUST-IN-3866-4538,CUST-IN-4139-9417,SPOUSE_OF,Married,Jackson,HIGH,
CUST-IL-6008-5537,CUST-IL-6236-2751,RELATIVE_OF,Other Relative,Reed,MEDIUM,1.0
CUST-IL-2066-3685,CUST-IL-6236-2751,RELATIVE_OF,Other Relative,Reed,MEDIUM,5.0
CUST-IL-2066-3685,CUST-IL-6008-5537,RELATIVE_OF,Other Relative,Reed,LOW,6.0
CUST-IL-4856-9636,CUST-IL-7696-9665,CHILD_OF,Biological/Legal Child,Richardson,MEDIUM,11.0
CUST-IL-7696-9665,CUST-IL-4856-9636,PARENT_OF,Biological/Legal Parent,Richardson,MEDIUM,11.0
CUST-IL-3567-5851,CUST-IL-9766-5133,CHILD_OF,Biological/Legal Child,Harris,MEDIUM,6.0
CUST-IL-9766-5133,CUST-IL-3567-5851,PARENT_OF,Biological/Legal Parent,Harris,MEDIUM,6.0
CUST-OH-8047-5192,CUST-OH-5026-7294,CHILD_OF,Biological/Legal Child,Rivera,MEDIUM,7.0
CUST-OH-5026-7294,CUST-OH-8047-5192,PARENT_OF,Biological/Legal Parent,Rivera,MEDIUM,7.0
CUST-OH-5436-2258,CUST-OH-5026-7294,RELATIVE_OF,Other Relative,Rivera,MEDIUM,4.0
CUST-OH-5436-2258,CUST-OH-8047-5192,RELATIVE_OF,Other Relative,Rivera,MEDIUM,3.0
CUST-OH-5436-2258,CUST-OH-7430-2422,RELATIVE_OF,Other Relative,Rivera,LOW,1.0
CUST-OH-7430-2422,CUST-OH-5026-7294,RELATIVE_OF,Other Relative,Rivera,MEDIUM,5.0
