:START_ID,:END_ID,:TYPE,relationship_detail,shared_last_name,confidence,age_gap
CUST-OH-5215-5637,CUST-OH-8044-9316,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,-8.0
CUST-OH-2126-5740,CUST-OH-8044-9316,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,5.0
CUST-OH-5215-5637,CUST-OH-7569-6776,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,-10.0
CUST-OH-2126-5740,CUST-OH-7569-6776,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,3.0
CUST-OH-5215-5637,CUST-OH-4307-3612,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,1.0
CUST-OH-2126-5740,CUST-OH-4307-3612,PARENT_OF,Biological/Legal Parent,Lewis,MEDIUM,14.0
CUST-OH-2126-5740,CUST-OH-2211-9269,PARENT_OF,Biological/Legal Parent,Lewis,HIGH,18.0
CUST-OH-9523-8454,CUST-OH-6876-4181,PARENT_OF,Biological/Legal Parent,Martinez,MEDIUM,8.0
CUST-IL-7247-1214,CUST-IL-2830-2644,PARENT_OF,Biological/Legal Parent,Thomas,MEDIUM,10.0
CUST-IL-7247-1214,CUST-IL-5311-1436,PARENT_OF,Biological/Legal Parent,Thomas,MEDIUM,-15.0
CUST-IL-7696-9665,CUST-IL-4856-9636,PARENT_OF,Biological/Legal Parent,Richardson,MEDIUM,11.0
CUST-IL-9766-5133,CUST-IL-3567-5851,PARENT_OF,Biological/Legal Parent,Harris,MEDIUM,6.0
CUST-OH-5026-7294,CUST-OH-8047-5192,PARENT_OF,Biological/Legal Parent,Rivera,MEDIUM,7.0
CUST-OH-8426-7028,CUST-OH-5947-5696,PARENT_OF,Biological/Legal Parent,Watson,HIGH,-24.0
CUST-OH-1918-3058,CUST-OH-5947-5696,PARENT_OF,Biological/Legal Parent,Watson,HIGH,-19.0
CUST-OH-2190-9253,CUST-OH-5589-5313,PARENT_OF,Biological/Legal Parent,Stewart,HIGH,19.0
CUST-OH-8652-9260,CUST-OH-9541-2963,PARENT_OF,Biological/Legal Parent,Stewart,MEDIUM,-2.0
CUST-OH-2190-9253,CUST-OH-9541-2963,PARENT_OF,Biological/Legal Parent,Stewart,MEDIUM,4.0
CUST-OH-8652-9260,CUST-OH-1178-2389,PARENT_OF,Biological/Legal Parent,Stewart,MEDIUM,3.0
CUST-OH-2190-9253,CUST-OH-1178-2389,PARENT_OF,Biological/Legal Parent,Stewart,MEDIUM,9.0
CUST-IN-7184-3887,CUST-IN-1834-4577,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,-17.0
CUST-IN-5016-2427,CUST-IN-1834-4577,PARENT_OF,Biological/Legal Parent,Robinson,HIGH,-21.0
CUST-IN-4037-5707,CUST-IN-1834-4577,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,-8.0
CUST-IN-9205-3443,CUST-IN-1834-4577,PARENT_OF,Biological/Legal Parent,Robinson,HIGH,-32.0
CUST-IN-7184-3887,CUST-IN-6202-9905,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,6.0
CUST-IN-5016-2427,CUST-IN-6202-9905,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,2.0
CUST-IN-4037-5707,CUST-IN-6202-9905,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,15.0
CUST-IN-9205-3443,CUST-IN-6202-9905,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,-9.0
CUST-IN-7184-3887,CUST-IN-9533-3622,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,-15.0
CUST-IN-5016-2427,CUST-IN-9533-3622,PARENT_OF,Biological/Legal Parent,Robinson,HIGH,-19.0
CUST-IN-4037-5707,CUST-IN-9533-3622,PARENT_OF,Biological/Legal Parent,Robinson,MEDIUM,-6.0
CUST-IN-9205-3443,CUST-IN-9533-3622,PARENT_OF,Biological/Legal Parent,Robinson,HIGH,-30.0
CUST-IL-3697-7156,CUST-IL-4318-6927,PARENT_OF,Biological/Legal Parent,Cooper,MEDIUM,12.0
CUST-IL-3697-7156,CUST-IL-1277-4693,PARENT_OF,Biological/Legal Parent,Cooper,HIGH,30.0
CUST-IL-4755-4089,CUST-IL-8520-9861,PARENT_OF,Biological/Legal Parent,Roberts,HIGH,-32.0
