:START_ID,:END_ID,:TYPE,relationship_detail,shared_last_name,confidence,age_gap
CUST-IN-3428-3984,CUST-IN-9515-4564,RELATIVE_OF,Other Relative,Brooks,MEDIUM,12.0
CUST-IN-3428-3984,CUST-IN-8440-8336,RELATIVE_OF,Other Relative,Brooks,LOW,12.0
CUST-IN-8440-8336,CUST-IN-9515-4564,RELATIVE_OF,Other Relative,Brooks,MEDIUM,0.0
CUST-IL-1549-9239,CUST-IL-7247-1214,RELATIVE_OF,Other Relative,Thomas,MEDIUM,17.0
CUST-IL-1549-9239,CUST-IL-2830-2644,RELATIVE_OF,Other Relative,Thomas,MEDIUM,7.0
CUST-IL-1549-9239,CUST-IL-5311-1436,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Thomas,MEDIUM,32.0
CUST-IL-6008-5537,CUST-IL-6236-2751,RELATIVE_OF,Other Relative,Reed,MEDIUM,1.0
CUST-IL-2066-3685,CUST-IL-6236-2751,RELATIVE_OF,Other Relative,Reed,MEDIUM,5.0
CUST-IL-2066-3685,CUST-IL-6008-5537,RELATIVE_OF,Other Relative,Reed,LOW,6.0
CUST-OH-5436-2258,CUST-OH-5026-7294,RELATIVE_OF,Other Relative,Rivera,MEDIUM,4.0
CUST-OH-5436-2258,CUST-OH-8047-5192,RELATIVE_OF,Other Relative,Rivera,MEDIUM,3.0
CUST-OH-5436-2258,CUST-OH-7430-2422,RELATIVE_OF,Other Relative,Rivera,LOW,1.0
CUST-OH-7430-2422,CUST-OH-5026-7294,RELATIVE_OF,Other Relative,Rivera,MEDIUM,5.0
CUST-OH-7430-2422,CUST-OH-8047-5192,RELATIVE_OF,Other Relative,Rivera,MEDIUM,2.0
CUST-OH-1436-3428,CUST-OH-8426-7028,RELATIVE_OF,Older Relative (Possible Uncle/Aunt),Watson,MEDIUM,28.0
CUST-OH-1436-3428,CUST-OH-1918-3058,RELATIVE_OF,Older Relative (Possible Uncle/Aunt),Watson,MEDIUM,23.0
CUST-OH-1436-3428,CUST-OH-5947-5696,RELATIVE_OF,Other Relative,Watson,MEDIUM,4.0
CUST-OH-1439-1401,CUST-OH-7452-6356,RELATIVE_OF,Other Relative,Scott,MEDIUM,2.0
CUST-OH-1439-1401,CUST-OH-9070-1175,RELATIVE_OF,Other Relative,Scott,MEDIUM,5.0
CUST-OH-2984-1410,CUST-OH-8652-9260,RELATIVE_OF,Other Relative,Stewart,MEDIUM,7.0
CUST-OH-2984-1410,CUST-OH-2190-9253,RELATIVE_OF,Other Relative,Stewart,MEDIUM,13.0
CUST-OH-2984-1410,CUST-OH-5589-5313,RELATIVE_OF,Other Relative,Stewart,MEDIUM,6.0
CUST-OH-2984-1410,CUST-OH-9541-2963,RELATIVE_OF,Other Relative,Stewart,MEDIUM,9.0
CUST-OH-2984-1410,CUST-OH-1178-2389,RELATIVE_OF,Other Relative,Stewart,MEDIUM,4.0
CUST-OH-9212-7406,CUST-OH-7950-3745,RELATIVE_OF,Other Relative,Walker,MEDIUM,12.0
CUST-OH-9212-7406,CUST-OH-9713-1854,RELATIVE_OF,Other Relative,Walker,LOW,19.0
CUST-OH-9713-1854,CUST-OH-7950-3745,RELATIVE_OF,Other Relative,Walker,MEDIUM,7.0
CUST-IN-5985-4615,CUST-IN-1439-3309,RELATIVE_OF,Other Relative,Mitchell,MEDIUM,5.0
CUST-IN-5985-4615,CUST-IN-7367-3570,RELATIVE_OF,Other Relative,Mitchell,MEDIUM,7.0
CUST-IN-6483-1723,CUST-IN-7184-3887,RELATIVE_OF,Other Relative,Robinson,MEDIUM,1.0
CUST-IN-6483-1723,CUST-IN-5016-2427,RELATIVE_OF,Other Relative,Robinson,MEDIUM,5.0
CUST-IN-6483-1723,CUST-IN-4037-5707,RELATIVE_OF,Other Relative,Robinson,MEDIUM,8.0
CUST-IN-6483-1723,CUST-IN-9205-3443,RELATIVE_OF,Other Relative,Robinson,MEDIUM,16.0
CUST-IN-6483-1723,CUST-IN-1834-4577,RELATIVE_OF,Other Relative,Robinson,MEDIUM,16.0
CUST-IN-6483-1723,CUST-IN-6202-9905,RELATIVE_OF,Other Relative,Robinson,MEDIUM,7.0
CUST-IN-6483-1723,CUST-IN-9533-3622,RELATIVE_OF,Other Relative,Robinson,MEDIUM,14.0
CUST-IN-6483-1723,CUST-IN-9293-7163,RELATIVE_OF,Other Relative,Robinson,LOW,4.0
CUST-IN-5969-7218,CUST-IN-7184-3887,RELATIVE_OF,Other Relative,Robinson,MEDIUM,17.0
CUST-IN-5969-7218,CUST-IN-5016-2427,RELATIVE_OF,Other Relative,Robinson,MEDIUM,13.0
CUST-IN-5969-7218,CUST-IN-4037-5707,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Robinson,MEDIUM,26.0
CUST-IN-5969-7218,CUST-IN-9205-3443,RELATIVE_OF,Other Relative,Robinson,MEDIUM,2.0
CUST-IN-5969-7218,CUST-IN-1834-4577,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Robinson,MEDIUM,34.0
CUST-IN-5969-7218,CUST-IN-6202-9905,RELATIVE_OF,Other Relative,Robinson,MEDIUM,11.0
CUST-IN-5969-7218,CUST-IN-9533-3622,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Robinson,MEDIUM,32.0
CUST-IN-5969-7218,CUST-IN-6483-1723,RELATIVE_OF,Other Relative,Robinson,LOW,18.0
CUST-IN-5969-7218,CUST-IN-9293-7163,RELATIVE_OF,Other Relative,Robinson,LOW,14.0
CUST-IN-9293-7163,CUST-IN-7184-3887,RELATIVE_OF,Other Relative,Robinson,MEDIUM,3.0
CUST-IN-9293-7163,CUST-IN-5016-2427,RELATIVE_OF,Other Relative,Robinson,MEDIUM,1.0
CUST-IN-9293-7163,CUST-IN-4037-5707,RELATIVE_OF,Other Relative,Robinson,MEDIUM,12.0
CUST-IN-9293-7163,CUST-IN-9205-3443,RELATIVE_OF,Other Relative,Robinson,MEDIUM,12.0
CUST-IN-9293-7163,CUST-IN-1834-4577,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Robinson,MEDIUM,20.0
CUST-IN-9293-7163,CUST-IN-6202-9905,RELATIVE_OF,Other Relative,Robinson,MEDIUM,3.0
CUST-IN-9293-7163,CUST-IN-9533-3622,RELATIVE_OF,Younger Relative (Possible Nephew/Niece),Robinson,MEDIUM,18.0
CUST-IL-2854-7788,CUST-IL-4755-4089,RELATIVE_OF,Older Relative (Possible Uncle/Aunt),Roberts,MEDIUM,24.0
CUST-IL-2854-7788,CUST-IL-9425-7922,RELATIVE_OF,Older Relative (Possible Uncle/Aunt),Roberts,MEDIUM,25.0
CUST-IL-2854-7788,CUST-IL-8898-3022,RELATIVE_OF,Other Relative,Roberts,MEDIUM,10.0
