:START_ID,:END_ID,:TYPE,relationship_detail,shared_last_name,confidence,age_gap
CUST-OH-5215-5637,CUST-OH-2126-5740,SPOUSE_OF,Married,Lewis,HIGH,
CUST-OH-2126-5740,CUST-OH-5215-5637,SPOUSE_OF,Married,Lewis,HIGH,
CUST-IL-1118-4772,CUST-IL-5638-3026,SPOUSE_OF,Married,Williams,HIGH,
CUST-IL-5638-3026,CUST-IL-1118-4772,SPOUSE_OF,Married,Williams,HIGH,
CUST-OH-1181-4563,CUST-OH-6698-5768,SPOUSE_OF,Married,Anderson,HIGH,
CUST-OH-6698-5768,CUST-OH-1181-4563,SPOUSE_OF,Married,Anderson,HIGH,
CUST-IN-4139-9417,CUST-IN-3866-4538,SPOUSE_OF,Married,Jackson,HIGH,
CUST-IN-3866-4538,CUST-IN-4139-9417,SPOUSE_OF,Married,Jackson,HIGH,
CUST-OH-1918-3058,CUST-OH-8426-7028,SPOUSE_OF,Married,Watson,HIGH,
CUST-OH-8426-7028,CUST-OH-1918-3058,SPOUSE_OF,Married,Watson,HIGH,
CUST-OH-7519-6878,CUST-OH-6268-7438,SPOUSE_OF,Married,Davis,HIGH,
CUST-OH-6268-7438,CUST-OH-7519-6878,SPOUSE_OF,Married,Davis,HIGH,
CUST-OH-8652-9260,CUST-OH-2190-9253,SPOUSE_OF,Married,Stewart,HIGH,
CUST-OH-2190-9253,CUST-OH-8652-9260,SPOUSE_OF,Married,Stewart,HIGH,
CUST-IN-5016-2427,CUST-IN-7184-3887,SPOUSE_OF,Married,Robinson,HIGH,
CUST-IN-7184-3887,CUST-IN-5016-2427,SPOUSE_OF,Married,Robinson,HIGH,
CUST-IN-9205-3443,CUST-IN-4037-5707,SPOUSE_OF,Married,Robinson,HIGH,
CUST-IN-4037-5707,CUST-IN-9205-3443,SPOUSE_OF,Married,Robinson,HIGH,
CUST-IL-4755-4089,CUST-IL-9425-7922,SPOUSE_OF,Married,Roberts,HIGH,
CUST-IL-9425-7922,CUST-IL-4755-4089,SPOUSE_OF,Married,Roberts,HIGH,
CUST-IL-6622-2955,CUST-IL-8898-3022,SPOUSE_OF,Married,Roberts,HIGH,
CUST-IL-8898-3022,CUST-IL-6622-2955,SPOUSE_OF,Married,Roberts,HIGH,
CUST-IN-5140-7970,CUST-IN-4259-5216,SPOUSE_OF,Married,Ruiz,HIGH,
CUST-IN-4259-5216,CUST-IN-5140-7970,SPOUSE_OF,Married,Ruiz,HIGH,
CUST-IN-2051-2050,CUST-IN-9134-1874,SPOUSE_OF,Married,Green,HIGH,
CUST-IN-9134-1874,CUST-IN-2051-2050,SPOUSE_OF,Married,Green,HIGH,
CUST-IL-9086-1612,CUST-IL-6518-4841,SPOUSE_OF,Married,Green,HIGH,
CUST-IL-6518-4841,CUST-IL-9086-1612,SPOUSE_OF,Married,Green,HIGH,
CUST-IL-5848-1441,CUST-IL-7958-7865,SPOUSE_OF,Married,Morgan,HIGH,
CUST-IL-7958-7865,CUST-IL-5848-1441,SPOUSE_OF,Married,Morgan,HIGH,
CUST-IL-6488-6659,CUST-IL-9875-6231,SPOUSE_OF,Married,Morgan,HIGH,
CUST-IL-9875-6231,CUST-IL-6488-6659,SPOUSE_OF,Married,Morgan,HIGH,
CUST-IN-8058-9199,CUST-IN-5282-5132,SPOUSE_OF,Married,Ramirez,HIGH,
CUST-IN-5282-5132,CUST-IN-8058-9199,SPOUSE_OF,Married,Ramirez,HIGH,
CUST-IN-1365-2505,CUST-IN-9828-7272,SPOUSE_OF,Married,Bell,HIGH,
CUST-IN-9828-7272,CUST-IN-1365-2505,SPOUSE_OF,Married,Bell,HIGH,
CUST-IN-6588-6447,CUST-IN-1711-8953,SPOUSE_OF,Married,Gonzalez,HIGH,
CUST-IN-1711-8953,CUST-IN-6588-6447,SPOUSE_OF,Married,Gonzalez,HIGH,
CUST-IL-4489-3523,CUST-IL-9938-3284,SPOUSE_OF,Married,Gray,HIGH,
CUST-IL-9938-3284,CUST-IL-4489-3523,SPOUSE_OF,Married,Gray,HIGH,
CUST-IN-5291-2572,CUST-IN-5962-8195,SPOUSE_OF,Married,Wright,HIGH,
CUST-IN-5962-8195,CUST-IN-5291-2572,SPOUSE_OF,Married,Wright,HIGH,
CUST-IN-8921-3216,CUST-IN-5053-8752,SPOUSE_OF,Married,Wright,HIGH,
CUST-IN-5053-8752,CUST-IN-8921-3216,SPOUSE_OF,Married,Wright,HIGH,
CUST-IL-8968-7411,CUST-IL-5820-3991,SPOUSE_OF,Married,Martin,HIGH,
CUST-IL-5820-3991,CUST-IL-8968-7411,SPOUSE_OF,Married,Martin,HIGH,
CUST-OH-7143-7671,CUST-OH-8766-8159,SPOUSE_OF,Married,Torres,HIGH,
CUST-OH-8766-8159,CUST-OH-7143-7671,SPOUSE_OF,Married,Torres,HIGH,
CUST-IL-5375-7959,CUST-IL-4209-6347,SPOUSE_OF,Married,White,HIGH,
CUST-IL-4209-6347,CUST-IL-5375-7959,SPOUSE_OF,Married,White,HIGH,
CUST-IN-6151-3637,CUST-IN-8308-7545,SPOUSE_OF,Married,Edwards,HIGH,
CUST-IN-8308-7545,CUST-IN-6151-3637,SPOUSE_OF,Married,Edwards,HIGH,
CUST-IL-3039-4475,CUST-IL-8767-3284,SPOUSE_OF,Married,Hill,HIGH,
CUST-IL-8767-3284,CUST-IL-3039-4475,SPOUSE_OF,Married,Hill,HIGH,
CUST-IN-3496-8643,CUST-IN-9106-4091,SPOUSE_OF,Married,Rivera,HIGH,
CUST-IN-9106-4091,CUST-IN-3496-8643,SPOUSE_OF,Married,Rivera,HIGH,
CUST-OH-7811-7991,CUST-OH-9133-3712,SPOUSE_OF,Married,Jones,HIGH,
CUST-OH-9133-3712,CUST-OH-7811-7991,SPOUSE_OF,Married,Jones,HIGH,
CUST-IL-8471-3642,CUST-IL-1751-5546,SPOUSE_OF,Married,Evans,HIGH,
CUST-IL-1751-5546,CUST-IL-8471-3642,SPOUSE_OF,Married,Evans,HIGH,
CUST-OH-9449-8584,CUST-OH-3886-5052,SPOUSE_OF,Married,Miller,HIGH,
CUST-OH-3886-5052,CUST-OH-9449-8584,SPOUSE_OF,Married,Miller,HIGH,
CUST-OH-5360-4725,CUST-OH-9434-7330,SPOUSE_OF,Married,Clark,HIGH,
CUST-OH-9434-7330,CUST-OH-5360-4725,SPOUSE_OF,Married,Clark,HIGH,
CUST-IL-4256-3109,CUST-IL-5863-6920,SPOUSE_OF,Married,Davis,HIGH,
CUST-IL-5863-6920,CUST-IL-4256-3109,SPOUSE_OF,Married,Davis,HIGH,
CUST-IL-1148-9178,CUST-IL-1654-7467,SPOUSE_OF,Married,Morris,HIGH,
CUST-IL-1654-7467,CUST-IL-1148-9178,SPOUSE_OF,Married,Morris,HIGH,
CUST-OH-9037-6704,CUST-OH-7400-1200,SPOUSE_OF,Married,Campbell,HIGH,
CUST-OH-7400-1200,CUST-OH-9037-6704,SPOUSE_OF,Married,Campbell,HIGH,
CUST-OH-4427-6544,CUST-OH-4988-5035,SPOUSE_OF,Married,Reed,HIGH,
CUST-OH-4988-5035,CUST-OH-4427-6544,SPOUSE_OF,Married,Reed,HIGH,
